"Вентилятор Baxi Eco/Eco 3/Luna, Westen Star/Energy (5653850)";"Вентилятор Baxi Eco/Eco 3/Luna, Westen Star/Energy (5653850)";C7.003;https://piramida24.com.ua/content/images/26/ventilyator-baxi-eco-eco-3-luna-westen-star-energy-87620881944894_small12.jpg;"1288.0000 грн.";"В наличии            ";"Артикул:C7.003 | Бренд:Baxi, Westen | Производитель:Китай | ";"Артикул:C7.003 | Бренд:Baxi, Westen | Виробник:Китай | ";"Вентилятор Baxi Eco/Eco 3/Luna, Westen Star/Energy (5653850) ✔ Заказывай с доставкой ✔ Выгодные цены от ☆ интернет-магазина SIMAG";"Вентилятор Baxi Eco/Eco 3/Luna, Westen Star/Energy (5653850) ✔ Замовляй з доставкою ✔ Вигідні ціни від ☆ інтернет-магазину SIMAG"
"Вентилятор Ariston Microgenus/TX/T2 (999397)";"Вентилятор Ariston Microgenus/TX/T2 (999397)";C7.002;https://piramida24.com.ua/content/images/27/ventilyator-ariston-genus-microgenus-tx-t2-mffi-86368365958333_small12.jpg;"1288.0000 грн.";"В наличии            ";"Артикул:C7.002 | Бренд:Ariston | Производитель:Китай | ";"Артикул:C7.002 | Бренд:Ariston | Виробник:Китай | ";"
        Вентилятор C7.002 выполняет стандартную для устройств такого рода функцию по удалению газов из камеры сгорания, и предназначен для установки в котлы от производителя Ariston. Конструктивно, являет собой турбину, с осью, вращающейся на втулке вращения, в металлическом корпусе. Важной особенностью данной модели являются вынесенные на бока крепления для корректной установки устройства на надлежащем ему месте в котле, а также штуцер трубки Вентури, который, как и сама трубка, расположен в средней части корпуса, что отличает этот вентилятор от аналогов, у которых он расположен на ""выходе"". Произведен он на китайском заводе, занимающимся производством OEM запчастей для домашних газовых котлов, который получил нужный чертеж от исходного разработчика. Все это гарантирует 100% соответствие уровню качества европейского аналога. Мощность модели C7.002 - 52 Вт. Используется в котлах: - Ariston Genus 23 MFFI R (только старые модели); - Ariston Microgenus 23 MFFI; - Ariston TX 23 MFFI; - Ariston T2 23 MFFI; Вентилятор C7.002 - качественная замена вентилятору 999397, произведенная на авторизированном китайском заводе. Вентиляторы с меньшей мощностью могут быть легко заменены вентиляторами с большей, без разницы для конечного пользователя; соответственно, C7.002 с мощностью 52 Вт заменит модель от Ariston с мощностью 35 Вт.    ";"
        Вентилятор C7.002 виконує стандартну для пристроїв такого роду функцію з видалення димових газів з камери згорання, і призначений для установки в котли від виробника Ariston. Конструктивно, являє собою турбіну, з віссю, що обертається на втулці обертання, в металевому корпусі. Важливою особливістю даної моделі є винесені на боки кріплення для коректної установки пристрою на належному йому місці в котлі, а також штуцер трубки Вентурі, який, як і сама трубка, розташований в середній частині корпусу, що відрізняє цей вентилятор від аналогів, у яких він розташований на виході. Вироблений він на китайському заводі, що займається виробництвом OEM запчастин для побутових газових котлів, який отримав потрібне креслення від вихідного розробника. Все це гарантує 100% відповідність рівню якості європейського аналога.

Потужність моделі C7.002 - 52 Вт.

Використовується в котлах:

Ariston Genus 23 MFFI R (тільки старі моделі);
	Ariston Microgenus 23 MFFI;
	Ariston TX 23 MFFI;
	Ariston T2 23 MFFI.
Вентилятор C7.002 - якісна заміна вентилятора 999397, вироблена на авторизованому китайському заводі. Вентилятори з меншою потужністю можуть бути легко замінені вентиляторами з більшою, без різниці для кінцевого користувача; відповідно, C7.002 з потужністю 52 Вт замінить модель від Ariston з потужністю 35 Вт.    "
"Вентилятор Ferroli Domiproject/Fereasy/Domicompact New/ Ferrelazip/Domitech";"Вентилятор Ferroli Domiproject/Fereasy/Domicompact New/ Ferrelazip/Domitech";C7.006;https://piramida24.com.ua/content/images/28/ventilyator-ferroli-domiproject-fereasy-domicompact-new-ferrelazip-domitech-22423619694179_small12.jpg;"1416.0000 грн.";"В наличии            ";"Артикул:C7.006 | Бренд:Ferroli | Производитель:Китай | ";"Артикул:C7.006 | Бренд:Ferroli | Виробник:Китай | ";"Вентилятор Ferroli Domiproject/Fereasy/Domicompact New/ Ferrelazip/Domitech ✔ Заказывай с доставкой ✔ Выгодные цены от ☆ интернет-магазина SIMAG";"Вентилятор Ferroli Domiproject/Fereasy/Domicompact New/ Ferrelazip/Domitech ✔ Замовляй з доставкою ✔ Вигідні ціни від ☆ інтернет-магазину SIMAG"
"Вентилятор Bosch Eurostar/Junkers Euroline, Novatherm";"Вентилятор Bosch Eurostar/Junkers Euroline, Novatherm";C7.004;https://piramida24.com.ua/content/images/29/ventilyator-bosch-eurostar-junkers-euroline-novatherm-57801159471273_small12.jpg;"1674.0000 грн.";"В наличии            ";"Артикул:C7.004 | Бренд:Junkers/Bosch | Производитель:Китай | ";"Артикул:C7.004 | Бренд:Junkers/Bosch | Виробник:Китай | ";"
        Вентилятор C7.004 создан заводом, расположенным в Китайской Народной Республике, который имеет пятидесятилетний опыт в производстве подобных устройств, и профессионально занимается выпуском ОЕМ запчастей для европейских котлов. Эту модель отличает форма, характерная для вентиляторов, использующихся в котлах Bosch-Junkers - она имеет прямоугольный выход сопла, и прямоугольную конструкцию корпуса, в который заключен сам механизм турбины. За исключением формы, остальные детали этой модели такие же, как в других вентиляторах, и выполняют те же функции. Трубок Пито или Вентури на этой модели не задумано. C7.004 выпущен по оригинальным чертежам, что гарантирует должный уровень качества и беспроблемную установку при замене европейского вентилятора.

Мощность вентилятора - 60 Вт.

Используется в котлах:

Bosch Eurostar ZE24-4MFA, ZSE24-4MFA, ZWE24-4MFA, ZWE28-4MF (имеет артикул 8717204224);
	Junkers Eurostar ZSE24-3MFA, ZWE24-3MFA, ZWE28-3MFA (8717204224);
	Bosch Euroline ZS18AE, ZS23AE, ZW18AE, ZW23AE (8707204001);
	Bosch Novatherm ZS20AME, ZW20AME, OW23AE (8707204001);
	Bosch Jetaterm WR250-5AM0E5S0700, WR250-5AM1E23S5705 (8707204001);
	Junkers Jetaterm WR325-5AM1E23S5705, WR250-5AM1E23S5705, WR325-5AM0E23 (8707204001).
Важно отметить, что вентилятор C7.004 предназначен для замены вентиляторов от производителя Bosch с артикулом 8717204224 и Junkers с артикулом 8707204001. Эти вентиляторы имеют мощности 58 и 42 Вт соответственно. Модель C7.004 имеет мощность 60 Вт, чего вполне хватит для потребностей дымоудаления котлов и колонок, для которых она предназначена. Большая мощность не только не мешает установке, но и позитивно повлияет на общее качество работы котла и системы отопления.     ";"
        Вентилятор C7.004 створений на заводі, який розташованим в Китайській Народній Республіці, має п'ятдесятирічний досвід у виробництві подібних пристроїв, і професійно займається випуском ОЕМ запчастин для європейських котлів. Цю модель відрізняє форма, характерна для вентиляторів, що використовуються в котлах Bosch-Junkers - вона має прямокутний вихід сопла і прямокутну конструкцію корпусу, в якому снаходиться сам механізм турбіни. За винятком форми, інші деталі цієї моделі такі ж, як в інших вентиляторах і виконують ті ж функції. Трубок Піто або Вентури на цій моделі не задумано. C7.004 випущений за оригінальними кресленнями, що гарантує належний рівень якості та безпроблемну установку при заміні європейського вентилятора.

Потужність вентилятора - 60 Вт.

Використовується в котлах:

Bosch Eurostar ZE24-4MFA, ZSE24-4MFA, ZWE24-4MFA, ZWE28-4MF (має артикул 8717204224);
	Junkers Eurostar ZSE24-3MFA, ZWE24-3MFA, ZWE28-3MFA (8717204224);
	Bosch Euroline ZS18AE, ZS23AE, ZW18AE, ZW23AE (8707204001);
	Bosch Novatherm ZS20AME, ZW20AME, OW23AE (8707204001);
	Bosch Jetaterm WR250-5AM0E5S0700, WR250-5AM1E23S5705 (8707204001);
	Junkers Jetaterm WR325-5AM1E23S5705, WR250-5AM1E23S5705, WR325-5AM0E23 (8707204001).
Важливо відзначити, що вентилятор C7.004 призначений для заміни вентиляторів від виробника Bosch з артикулом 8717204224 та Junkers з артикулом 8707204001. Ці вентилятори мають потужності 58 і 42 Вт відповідно. Модель C7.004 має потужність 60 Вт, чого цілком вистачить для потреб димовидалення котлів і колонок, для яких вона призначена. Велика потужність не тільки не заважає установці, але і позитивно вплине на загальну якість роботи котла і системи опалення.    "
"Вентилятор Vailant Turbomax Pro, Plus/TurboTec Pro, Plus";"Вентилятор Vailant Turbomax Pro, Plus/TurboTec Pro, Plus";C7.009;https://piramida24.com.ua/content/images/30/ventilyator-vailant-turbomax-pro-plus-turbotec-pro-plus-41877034513486_small12.jpg;"1545.0000 грн.";"В наличии            ";"Артикул:C7.009 | Бренд:Vaillant | Производитель:Китай | ";"Артикул:C7.009 | Бренд:Vaillant | Виробник:Китай | ";"
        Вентилятор Vaillant с артикулом C7.009 имеет необычный внешний вид, выделяющий его среди аналогов. Его корпус имеет характерные выступы, использующиеся для установки на предназначенное ему место, три скобы на нижней части для закрепления в соответствующих им гнездах, а также дополнительное крепление с отверстием. Сопло также имеет необычную форму, подходящую для установки только на соответствующие трубы. Внутри корпуса расположена турбина, с осью, которая вращается на втулке качения. Важной деталью также является трубка Вентури, расположенная ближе к соплу, с двумя патрубками для установки силиконовых трубок и соединяемая таким образом с соответствующим реле давления дыма. Модель выполнена на китайском заводе, и точное воспроизведение ее формы демонстрирует, что она была создана при помощи чертежей и схем оригинального разработчика.

Мощность C7.009 - 60 Вт.

Используется в следующих моделях котлов:

Vaillant Turbomax Pro VUW 242-3, VUW 242/2-3 R2-R3, VUW 242/2-3, VUW 282-3, VUW 282/2-3, VUW 282/2-3 R2-R3;
	Vaillant Turbomax Plus VUW 242-5, VUW 242/2-5, VUW 242/2-5 R2-R3, VUW 282-5, VUW 282/2-5, VUW 282/2-5 R2-R3;
	Vaillant Turbomtec Pro-Plus VU 112/3-5, VU 122/3-5, VU 202/3-5, VU 242/3-5, VU 282/3-5, VUW INT 242/2-3, VUW 182/3-3 M, VUW 182/3-3 M R1, VUW 202/3-3 R1, VUW 202/3-5, VUW 242/3-3 R1, VUW 242/3-5, VUW 282/3-3 R1, VUW 282/3-5.
	 
Модель C7.009 предназначена заменить 00200200008 от Vaillant. Это модель имеет мощность 60 Вт против 54 у немецкого производителя. Дополнительная мощность увеличит скорость удаления газов из камеры сгорания, и сделает таким образом общую работу котла более эффективной.    ";"
        Вентилятор Vaillant з артикулом C7.009 має незвичайний зовнішній вигляд, який виділяє його серед аналогів. Його корпус має характерні виступи, які використовуються для установки на призначене йому місце, три скоби на нижній частині для закріплення у відповідних їм гніздах, а також додаткове кріплення з отвором. Сопло також має незвичну форму, придатну для установки тільки на відповідні труби. Усередині корпусу розташована турбіна, з віссю, яка обертається на втулці кочення. Важливою деталлю є також трубка Вентурі, розташована ближче до сопла, з двома патрубками для установки силіконових трубок і з'єднується таким чином з відповідним реле тиску диму. Модель вироблена на китайському заводі і точне відтворення її форми демонструє, що вона була створена за допомогою креслень і схем оригінального розробника.

Потужність C7.009 - 60 Вт.

Використовується в наступних моделях котлів:

Vaillant Turbomax Pro VUW 242-3, VUW 242 / 2-3 R2-R3, VUW 242 / 2-3, VUW 282-3, VUW 282 / 2-3, VUW 282 / 2-3 R2-R3;
	Vaillant Turbomax Plus VUW 242-5, VUW 242 / 2-5, VUW 242 / 2-5 R2-R3, VUW 282-5, VUW 282 / 2-5, VUW 282 / 2-5 R2-R3;
	Vaillant Turbomtec Pro-Plus VU 112 / 3-5, VU 122 / 3-5, VU 202 / 3-5, VU 242 / 3-5, VU 282 / 3-5, VUW INT 242 / 2-3, VUW 182 / 3-3 M, VUW 182 / 3-3 M R1, VUW 202 / 3-3 R1, VUW 202 / 3-5, VUW 242 / 3-3 R1, VUW 242 / 3-5, VUW 282 / 3- 3 R1, VUW 282 / 3-5.
Модель C7.009 призначена замінити 00200200008 від Vaillant. Це модель має потужність 60 Вт проти 54 у німецького виробника. Додаткова потужність збільшить швидкість видалення газів з камери згоряння, і зробить таким чином загальну роботу котла більш ефективною.    "
"Вентилятор Ferroli";"Вентилятор Ferroli";C7.007;https://piramida24.com.ua/content/images/31/ventilyator-ferroli-47347993734810_small12.jpg;"1365.0000 грн.";"В наличии            ";"Артикул:C7.007 | Бренд:Ferroli | Производитель:Китай | ";"Артикул:C7.007 | Бренд:Ferroli | Виробник:Китай | ";"
        Вентилятор C7.007 отличается универсальной формой, которая делает его подходящим на разные модели котлов. Это компактное устройство с металлическим корпусом, внутрь которого заключена турбина. На корпусе расположено отверстие под трубку Вентури, которая предварительно установлена заводом и поставляется в комплекте. Улитка развернута против часовой стрелки. Устройство, как и любое другое такого класса, приспособлено для вытяжки газов из камеры сгорания котла. Китайский завод, на котором вентилятор был произведен имеет многолетний опыт в производстве подобных изделий  и в последние годы специализируется на изготовлении запчастей для европейских котлов.

Мощность - 52 Вт.

Используется в котлах:       

Ferroli Domicompact F24 (старые модели);
	Ferroli Domicompact F24D (старые модели);
	Ferroli Domina F24 Е;
	Ferroli Domina Oasi F24 Е;
	Ferroli Domitop HF 24 Е;
	Ferroli Domitop F24 Е (старые и новые модели);
	Ferroli New Elite F24.
Модель C7.007 заменяет вентилятор с артикулом 39811561 от Ferroli. Можно увидеть, что европейская модель часто продается с металлическим креплением для установки в котел, однако магазин ""Пирамида 24"" предлагает вентилятор со сниженной стоимостью без крепления. При замене, оно должно быть снято с заменяемого вентилятора. Также, заменяемая модель имеет мощность 32 Вт, против 52 Вт в C7.007 - что означает, что дополнительные Вт сделают дымоудаление котла более эффективным.    ";"
        Вентилятор C7.007 відрізняється універсальною формою, яка робить його придатним для встановлення на різні моделі котлів. Це компактний пристрій з металевим корпусом, всередині якого знаходиться турбіна. На корпусі розташовано отвір під трубку Вентурі, яка попередньо встановлена заводом і поставляється в комплекті. Равлик розгорнутий проти годинникової стрілки. Пристрій, як і будь-який інший такого класу, пристосований для витяжки газів з камери згоряння котла. Китайський завод, на якому вентилятор був вироблений має багаторічний досвід у виробництві подібних виробів і в останні роки спеціалізується на виготовленні запчастин для європейських котлів.

Потужність - 52 Вт.

Використовується в котлах:

Ferroli Domicompact F24 (старі моделі);
	Ferroli Domicompact F24D (старі моделі);
	Ferroli Domina F24 Е;
	Ferroli Domina Oasi F24 Е;
	Ferroli Domitop HF 24 Е;
	Ferroli Domitop F24 Е (старі і нові моделі);
	Ferroli New Elite F24.
Модель C7.007 замінює вентилятор з артикулом 39811561 від Ferroli. Можна побачити, що європейська модель часто продається з металевим кріпленням для установки в котел, однак магазин ""Піраміда 24"" пропонує вентилятор зі зниженою вартістю без кріплення. При заміні, воно повинно бути знято з замінюваного вентилятора. Також модель, яка замінюється має потужність 32 Вт, проти 52 Вт в C7.007 - що означає, що додаткові Вт зроблять димовидалення котла більш ефективним.    "
"Вентилятор Ariston UNO MFFI (995897)";"Вентилятор Ariston UNO MFFI (995897)";C7.008;https://piramida24.com.ua/content/images/32/ventilyator-ariston-uno-mffi-34792998805642_small12.jpg;"1288.0000 грн.";"В наличии            ";"Артикул:C7.008 | Бренд:Ariston | Производитель:Китай | ";"Артикул:C7.008 | Бренд:Ariston | Виробник:Китай | ";"
        Вентилятор модели C7.008 устанавливается на популярные турбированные котлы Ariston UNO 24 MFFI. В них он выполняет стандартную функцию вентилятора, обеспечивая удаление продуктов сгорания из топки котла. Конструктивно, модель состоит из алюминиевого корпуса, не подверженного окислению, на который сверху установлен неподвижный статор. Статор, в свою очередь, соединен с ротором, который вращается внутри него при помощи двух подшипников, и приводит лопасти турбины в движение, что и обеспечивает поток воздуха. Также важными частями вентилятора C7.008 являются предустановленная производителем металлическая трубка Вентури в боковой части, и расположенный чуть ниже ""крючок"" для закрепления устройства на предназначенном ему месте. C7.008 произведен на китайском заводе-лидере в своей отрасли, который выпускает вентиляторы исключительно высокого качества и 100%-но подходящие для установки в европейские котлы.

Мощность модели - 47 Вт.

Используется в котлах:

Ariston UNO 24 MFFI;
C7.008 - отличная замена вентилятору 995897 от Ariston. Он не только легко заменит пришедшее в негодность старое устройство, но и за счет повышенной мощности (47 против 38 Вт) улучшит общее качество работы вытяжной системы котла.

     ";"
        Вентилятор моделі C7.008 встановлюється на популярні турбовані котли Ariston UNO 24 MFFI. У них він виконує стандартну функцію вентилятора, забезпечує видалення продуктів згоряння з топки котла. Конструктивно, модель складається з алюмінієвого корпусу, який не піддається окисленню, на який зверху встановлений нерухомий статор. Статор, в свою чергу, з'єднаний з ротором, який обертається усередині нього за допомогою двох підшипників, і призводить лопаті турбіни в рух, що і забезпечує потік повітря. Також важливими частинами вентилятора C7.008 є попередньо встановлена ​​виробником металева трубка Вентурі в бічній частині, і розташований трохи нижче ""гачок"" для закріплення пристрою на призначеному йому місці. C7.008 вироблений на китайському заводі-лідері в своїй галузі, який випускає вентилятори виключно високої якості для установки в європейські котли.

Потужність моделі - 47 Вт.

Використовується в котлах:

Ariston UNO 24 MFFI;
C7.008 - відмінна заміна вентилятора 995897 від Ariston. Він не тільки легко замінить старий пристрій, що зламався, але і за рахунок підвищеної потужності (47 проти 38 Вт) поліпшить загальну якість роботи витяжної системи котла.    "
"Вентилятор Nepto, Atron, Neva, Nitron (3003201822/3003201710) ";"Вентилятор Nepto, Atron, Neva, Nitron (3003201822/3003201710) ";C7.005;https://piramida24.com.ua/content/images/33/ventilyator-demrad-solaris-tayros-aden-kalisto-31543008817566_small12.jpg;"1674.0000 грн.";"В наличии            ";"Артикул:C7.005 | Бренд:Demrad | Производитель:Китай | ";"Артикул:C7.005 | Бренд:Demrad | Виробник:Китай | ";"
        Вентилятор с артикулом C7.005 - отличная запасная часть для разнообразных котлов Demrad. Это надежная модель классического дизайна и хорошо показавшей себя формы, которая может с легкостью выполнять возложенные на нее задачи. Как и любой другой вентилятор бытового газового котла, C7.005 состоит из набора частей, каждый из которых работает над своей частью общей работы по удалению газов из камеры сгорания. Статор, состоящий из обмотки и сердечника, расположенный в верхней части устройства, приводит в движение ротор c лопастями: таким образом создается поток воздуха в камеру и вытяжка газов в дымоход из камеры. Все это смонтировано на цельном корпусе, сделанным из алюминия. Важной деталью также является трубка Вентури, которая соединяется с прессостатом и обеспечивает таким образом безопасность как котлу, не позволяя ему работать без дымоудаления, так и пользователю. На корпусе также смонтированы три крепления с отверстиями, для закрепления устройства в котле.

Мощность вентилятора C7.005 - 53 Вт.Используется в котлах:

Demrad Nepto HKT2 20, 24, 28 (3003201822);
	Demrad Neva HK 24, 28 (3003201822);
	Demrad Atron H 24, 28 (3003201822);
	Demrad HK F 224, 230 (3003201710);
C7.005 от именитого китайского производителя хорошо заменяет два артикула по взрывным схемам от производителя Demrad - 3003201822 и 3003201710. Он не только имеет ту же комплектацию, но и повышенную мощность (53 Вт против 38 и 48), что сделает дымоудаление более быстрым и эффективным.    ";"
        Вентилятор з артикулом C7.005 - відмінна запасна частина для різноманітних котлів Demrad. Це надійна модель класичного дизайну і форми, яка може з легкістю виконувати покладені на неї завдання. Як і будь-який інший вентилятор побутового газового котла, C7.005 складається з набору елементів, кожен з яких працює над своєю частиною загальної роботи з видалення газів з камери згоряння. Статор, що складається з обмотки і осердя, розташований у верхній частині пристрою, призводить в рух ротор c лопатями: таким чином створюється потік повітря в камеру і витяжка газів в димар з камери. Все це змонтовано на цілісному корпусі, зробленому з алюмінію. Важливою деталлю є також трубка Вентурі, яка з'єднується з пресостатом і забезпечує таким чином безпеку як котлу, не дозволяючи йому працювати без димовидалення, так і користувачеві. На корпусі також змонтовані три кріплення з отворами, для закріплення пристрою в котлі.

Потужність вентилятора C7.005 - 53 Вт.

Використовується в котлах:

Demrad Nepto HKT2 20, 24, 28 (3003201822);
	Demrad Neva HK 24, 28 (3003201822);
	Demrad Atron H 24, 28 (3003201822);
	Demrad HK F 224, 230 (3003201710);
C7.005 від іменитого китайського виробника добре замінює два артикули по вибуховим схемами від виробника Demrad - 3003201822 та 3003201710. Він не тільки має ту ж комплектацію, але і підвищену потужність (53 Вт проти 38 і 48), що зробить димовидалення більш швидким і ефективним .    "
"Вентилятор Ariston-Chaffoteaux (65104357/65104255)";"Вентилятор Ariston-Chaffoteaux (65104357/65104255)";C7.001;https://piramida24.com.ua/content/images/34/ventilyator-ariston-egisclasbsasmatis-chaffoteaux-pigmaalixia-28696410440736_small12.jpg;"1596.0000 грн.";"В наличии            ";"Артикул:C7.001 | Бренд:Ariston, Chaffoteaux | Производитель:Китай | ";"Артикул:C7.001 | Бренд:Ariston, Chaffoteaux | Виробник:Китай | ";"
        Модель вентилятора C7.001 нельзя перепутать ни с какой другой из-за ее уникальной формы. Сопло устройства сделано в форме характерного ""раструба"", который сразу демонстрирует, что это устройство - разработка Ariston-Chaffoteaux, и используется только в их котлах. Также, на корпусе смонтировано два крепления необычной формы, которые также подходят только для установки на соответствующие места в тех котлах, для которых предназначена эта модель. За исключением этого, C7.001 - стандартный котельный вентилятор, выполняющий стандартную функцию. С помощью вращения лопастей, приводимых в движение характерным статором в его верхней части, устройство выводит газы из камеры сгорания. Для этого, он сделан достаточно надежным - основные части выполнены из алюминия, не страдающего от высоких температур и окисления, а трубка Вентури, расположенная в боковой части, стальная, что автоматически страхует ее от разрушения в результате перегрева. C7.001 сделан на заводе, расположенном в Китае, которому оригинальный разработчик передал нужное для производство оборудование и чертежи - идеально точное воспроизведение оригинальной формы подтверждает это.

Мощность - 35 Вт.Используется в следующих моделях котлов:

Ariston Clas 24 FF (тут и дальше - заменяет артикул 65104357);
	Ariston Clas System 24 FF;
	Ariston Clas Evo 24 FF;
	Ariston Clas Evo System 24 FF;
	Ariston BS 24 FF;
	Ariston BS II 24 FF;
	Ariston AS 24 FF;
	Ariston Egis 24 FF;
	Ariston Egis Plus 24 FF;
	Ariston Matis 24 FF;
	Chaffoteaux Pigma 25 FF;
	Chaffoteaux Alixia 20, 24 FF;
	Ariston Genus 24 FF (тут и дальше - заменяет артикул 65104255);
	Ariston Genus EVO 24 FF;
	Ariston Clas B 24 FF;
	Chaffoteaux Niagara C 25 FF;
	Chaffoteaux Talia 25 FF;
	Chaffoteaux Talia System 15, 25 FF;
В этих котлах он заменяет вентиляторы с артикулами по взрывной схеме 65104357 и 65104255. Важно обратить внимание, что 65104357 имеет 30 Вт; это значит, что C7.001 с 35 Вт не только может успешно заменить его, но и улучшит в результате эффективность дымоудаления котла.

Также, в котлах от Ariston-Chaffoteaux 28, 30, 32 и 36 кВт стоят устройства аналогичной формы с номерами 65104231 и 65105042. Избегайте заменять их вентилятором C7.001, т.к. они имеют мощность, заметно большую чем у него.    ";"
        Модель вентилятора C7.001 не можна переплутати ні з якою іншою через її унікальну форму. Сопло пристрою зроблено у формі характерного ""розтруба"", який відразу демонструє, що цей пристрій - розробка Ariston-Chaffoteaux, і використовується тільки в їх котлах. Також, на корпусі змонтовано два кріплення незвичайної форми, які також підходять тільки для установки на відповідні місця в тих котлах, для яких призначена ця модель. За винятком цього, C7.001 - стандартний котельний вентилятор, який виконує стандартну функцію. За допомогою обертання лопатей, що приводяться в рух характерним статором в його верхній частині, пристрій виводить гази з камери згоряння. Для цього, він зроблений досить надійним - основні частини виконані з алюмінію, який не страждає від високих температур і окислення, а трубка Вентурі, розташована в бічній частині, сталева, що автоматично страхує її від руйнування в результаті перегріву. C7.001 зроблений на заводі, розташованому в Китаї, якому оригінальний розробник передав потрібне для виробництва обладнання та креслення - ідеально точне відтворення оригінальної форми підтверджує це.

Потужність - 35 Вт.

Використовується в наступних моделях котлів:

Ariston Clas 24 FF (тут і далі - замінює артикул 65104357);
	Ariston Clas System 24 FF;
	Ariston Clas Evo 24 FF;
	Ariston Clas Evo System 24 FF;
	Ariston BS 24 FF;
	Ariston BS II 24 FF;
	Ariston AS 24 FF;
	Ariston Egis 24 FF;
	Ariston Egis Plus 24 FF;
	Ariston Matis 24 FF;
	Chaffoteaux Pigma 25 FF;
	Chaffoteaux Alixia 20, 24 FF;
	Ariston Genus 24 FF (тут і далі - замінює артикул 65104255);
	Ariston Genus EVO 24 FF;
	Ariston Clas B 24 FF;
	Chaffoteaux Niagara C 25 FF;
	Chaffoteaux Talia 25 FF;
	Chaffoteaux Talia System 15, 25 FF;
У цих котлах він замінює вентилятори з артикулами по вибуховій схемі 65104357 і 65104255. Важливо звернути увагу, що 65104357 має 30 Вт; це означає, що C7.001 з 35 Вт не тільки може успішно замінити його, але і поліпшить в результаті ефективність димовидалення котла.

Також, в котлах від Ariston-Chaffoteaux 28, 30, 32 і 36 кВт стоять пристрої аналогічної форми з артикулами 65104231 і 65105042. Уникайте замінювати їх вентилятором C7.001, тому що вони мають потужність, помітно більшу ніж у нього.    "
"Вентилятор Demrad Nepto, Atron, Neva (3003201822)";"Вентилятор Demrad Nepto, Atron, Neva (3003201822)";T1.130;https://piramida24.com.ua/content/images/35/ventilyator-demrad-nepto-atron-neva-3003201822-61204172546664_small12.jpg;"1018.0000 грн.";"Нет в наличии            ";"Артикул:T1.130 | Бренд:Demrad | Производитель:Италия | Производитель:Італія | ";"Артикул:T1.130 | Бренд:Demrad | Виробник:Италия | Виробник:Італія | ";"Вентилятор Demrad Nepto, Atron, Neva (3003201822) ✔ Заказывай с доставкой ✔ Выгодные цены от ☆ интернет-магазина SIMAG";"Вентилятор Demrad Nepto, Atron, Neva (3003201822) ✔ Замовляй з доставкою ✔ Вигідні ціни від ☆ інтернет-магазину SIMAG"
